job_id,company,title,location,tags,url,scraped_at,run_id
1129181,ThriveCart,Frontend Engineer Editor Team,,"['Front End', 'SaaS', 'Technical', 'Support', 'Code', 'Cloud', 'Management', 'Sales', 'Engineer']",https://remoteok.com/remote-jobs/remote-frontend-engineer-editor-team-thrivecart-1129181,2025-12-25T19:08:12.015379+00:00,
1129179,TrustArc,Privacy Assurance Program Analyst,,"['Analyst', 'Salesforce', 'Training', 'Management', 'Engineering']",https://remoteok.com/remote-jobs/remote-privacy-assurance-program-analyst-trustarc-1129179,2025-12-25T19:08:12.015379+00:00,
1129177,Gurobi Optimization,Software Quality Engineer,,"['Software', 'React', 'Front End', 'Technical', 'Test', 'Code', 'Web', 'JavaScript', 'Cloud', 'Groovy', 'CSS', 'Engineer']",https://remoteok.com/remote-jobs/remote-software-quality-engineer-gurobi-optimization-1129177,2025-12-25T19:08:12.015379+00:00,
1128869,Stellar AI,Senior Software Engineer,This job is available for remote workers from United Kingdom. Click to see more remote jobs in United Kingdom,"['Developer', 'Train']",https://remoteok.com/remote-jobs/remote-senior-software-engineer-stellar-ai-1128869,2025-12-25T19:08:12.015379+00:00,
1129175,JumpCloud,Staff Technical Product Manager Cloud Infrastructure Türkiye,"Ankara, Türkiye - Remote","['Manager', 'Technical', 'Testing', 'Voice', 'Bank', 'Cloud', 'API', 'Microsoft', 'Strategy', 'Management', 'Lead', 'Android', 'Engineering', 'Recruitment', 'Executive']",https://remoteok.com/remote-jobs/remote-staff-technical-product-manager-cloud-infrastructure-turkiye-jumpcloud-1129175,2025-12-25T19:08:12.015379+00:00,
1129161,Sentrabyte Digital Solusi,Red Team Operator Real World Exploitation,Remote,"['Engineer', 'Technical', 'Linux', 'InfoSec', 'Testing', 'Web Security', 'Security Engineer', 'Cybersecurity', 'Penetration Testing', 'Red Team']",https://remoteok.com/remote-jobs/remote-red-team-operator-real-world-exploitation-sentrabyte-digital-solusi-1129161,2025-12-25T19:08:12.015379+00:00,
1129172,Anchorage Digital,Engineering Manager Self Custody,,"['Manager', 'iOS', 'Crypto', 'Security', 'Technical', 'Support', 'Software', 'Growth', 'Financial', 'Investment', 'Finance', 'Bank', 'Strategy', 'Management', 'Operational', 'Legal', 'Recruiting', 'Engineering', 'Full-Time']",https://remoteok.com/remote-jobs/remote-engineering-manager-self-custody-anchorage-digital-1129172,2025-12-25T19:08:12.015379+00:00,
1129171,MagicSchool AI,Software Engineer,,"['Software', 'Code', 'Engineer']",https://remoteok.com/remote-jobs/remote-software-engineer-magicschool-ai-1129171,2025-12-25T19:08:12.015379+00:00,
1129170,Cologix,NetSuite System Analyst,,"['System', 'Analyst', 'Security', 'Training', 'Technical', 'Support', 'Software', 'Test', 'Cloud', 'Management', 'Operations', 'Operational', 'Engineering', 'Full-Time']",https://remoteok.com/remote-jobs/remote-netsuite-system-analyst-cologix-1129170,2025-12-25T19:08:12.015379+00:00,
1129165,Glama,Full Stack TypeScript Engineer,Remote,"['Engineer', 'JavaScript', 'Typescript', 'Postgres', 'Node', 'React']",https://remoteok.com/remote-jobs/remote-full-stack-typescript-engineer-glama-1129165,2025-12-25T19:08:12.015379+00:00,
1129163,Ethena Labs,Senior Data Engineer,,"['Crypto', 'Back-End', 'Python', 'Cto', 'Technical', 'Growth', 'Financial', 'Finance', 'Serverless', 'Cloud', 'Strategy', 'Senior', 'Junior', 'Engineer']",https://remoteok.com/remote-jobs/remote-senior-data-engineer-ethena-labs-1129163,2025-12-25T19:08:12.015379+00:00,
1129162,Conduit,Product Manager,,"['Manager', 'Web3', 'Crypto', 'Ethereum', 'Ceo', 'Technical', 'Developer', 'Growth', 'Cloud', 'Strategy', 'Lead', 'Operations', 'Marketing', 'Engineering']",https://remoteok.com/remote-jobs/remote-product-manager-conduit-1129162,2025-12-25T19:08:12.015379+00:00,
1129097,Tratta,Senior Product Designer,Remote,"['Senior', 'Design', 'Product Designer', 'Product']",https://remoteok.com/remote-jobs/remote-senior-product-designer-tratta-1129097,2025-12-25T19:08:12.015379+00:00,
1129159,Greenlight Financial Technology,Customer Service Specialist,,"['Training', 'Recruiter', 'Support', 'Software', 'Finance', 'Fintech', 'Banking', 'Mobile', 'Engineering']",https://remoteok.com/remote-jobs/remote-customer-service-specialist-greenlight-financial-technology-1129159,2025-12-25T19:08:12.015379+00:00,
1129153,Tech Innovations Inc.,Software Engineer,,"['Software', 'React', 'Testing', 'Web', 'Engineer']",https://remoteok.com/remote-jobs/remote-software-engineer-tech-innovations-inc-1129153,2025-12-25T19:08:12.015379+00:00,
1129150,Recidiviz,Senior Product Manager,,"['Manager', 'System', 'Support', 'Software', 'Travel', 'Leader', 'Lead', 'Senior']",https://remoteok.com/remote-jobs/remote-senior-product-manager-recidiviz-1129150,2025-12-25T19:08:12.015379+00:00,
1129146,3Pillar,Cloud Architect NodeJs React,,"['React', 'Architect', 'Design', 'SaaS', 'Technical', 'Software', 'Growth', 'Code', 'DevOps', 'Serverless', 'Node JS', 'Cloud', 'Typescript', 'Leader', 'Strategy', 'Management', 'Health', 'Engineering', 'Backend']",https://remoteok.com/remote-jobs/remote-cloud-architect-nodejs-react-3pillar-1129146,2025-12-25T19:08:12.015379+00:00,
1129144,8VC,Software Engineer Noho Labs,,"['Software', 'Design', 'Embedded', 'Designer', 'Growth', 'Admin', 'Operations', 'Analytics', 'Health', 'Engineer', 'Engineering', 'Full-Time']",https://remoteok.com/remote-jobs/remote-software-engineer-noho-labs-8vc-1129144,2025-12-25T19:08:12.015379+00:00,
1129143,Mark43,Data Migration Engineer,,"['Design', 'Cloud', 'Engineer']",https://remoteok.com/remote-jobs/remote-data-migration-engineer-mark43-1129143,2025-12-25T19:08:12.015379+00:00,
